Name,Age,Score,Group
Amit,21.0,70.45,"Literary Society, Robotics"
Tina Ballard,19.0,65.45,"Literary Society, Coding Club"
Meena,19.0,84.79,Literary Society
Christopher Morales,23.0,62.26,"Coding Club, Entrepreneurship Cell"
Siddharth,20.0,97.12,Robotics
Siddharth,19.0,62.56,Sports Club
Alicia Dillon,18.0,82.62,"Entrepreneurship Cell, Robotics, Cultural Club"
Rahul,23.0,97.72,"Literary Society, Cultural Club, Sports Club"
Richard Rodriguez,18.0,74.15,"Entrepreneurship Cell, Literary Society, Cultural Club"
Anil,18.0,76.12,"Coding Club, Literary Society, Sports Club"
Anna Henderson,23.0,73.88,Coding Club
Neha,23.0,91.85,Literary Society
Pooja,23.0,99.1,"Coding Club, Robotics, Sports Club"
Casey Parker,21.0,84.32,"Entrepreneurship Cell, Sports Club"
Lucas Robinson,20.0,92.43,Sports Club
Joan Smith,23.0,62.63,"Robotics, Entrepreneurship Cell, Cultural Club"
Kimberly May,19.0,65.6,"Coding Club, Cultural Club"
Cody Williams,21.0,75.04,"Robotics, Sports Club, Literary Society"
Priya,22.0,71.11,Cultural Club
Pooja,22.0,86.48,"Literary Society, Entrepreneurship Cell"
Michael Meadows,23.0,70.52,Cultural Club
Pooja,19.0,65.67,Cultural Club
Anil,21.0,74.41,"Sports Club, Literary Society, Robotics"
Neha,21.0,94.13,"Coding Club, Entrepreneurship Cell, Cultural Club"
Karan,23.0,70.09,Robotics
Justin Johnson,23.0,72.32,"Cultural Club, Sports Club, Literary Society"
Rahul,23.0,84.17,"Coding Club, Entrepreneurship Cell"
Amanda Forbes,20.0,89.66,"Sports Club, Coding Club"
Autumn Olson,22.0,98.63,"Entrepreneurship Cell, Literary Society, Sports Club"
Christina Collins,19.0,88.04,Cultural Club
Michele Hill,21.0,82.59,"Entrepreneurship Cell, Literary Society"
Robin Johnson,19.0,69.49,"Sports Club, Literary Society, Cultural Club"
Amy Davies,19.0,86.89,Cultural Club
Jessica Swanson,23.0,80.13,"Coding Club, Sports Club"
Divya,18.0,63.66,"Entrepreneurship Cell, Coding Club"
Vincent Novak,19.0,96.62,"Robotics, Literary Society"
Anil,19.0,87.38,Coding Club
Rakhi,19.0,60.23,Coding Club
Sonal,19.0,96.52,"Entrepreneurship Cell, Coding Club, Robotics"
Mary Escobar,23.0,71.76,"Coding Club, Literary Society"
Dr. William Warren,21.0,75.45,"Literary Society, Entrepreneurship Cell"
Neha,22.0,71.68,"Cultural Club, Robotics, Literary Society"
Jeffrey Mills,21.0,65.27,"Entrepreneurship Cell, Robotics, Coding Club"
Tiffany Fry,19.0,72.69,"Cultural Club, Sports Club"
Vikram,19.0,99.38,"Sports Club, Coding Club"
Hayden Shannon,20.0,97.77,"Cultural Club, Robotics, Entrepreneurship Cell"
Ruth Mcneil,18.0,82.46,"Sports Club, Robotics, Literary Society"
Ronald Rocha,19.0,96.64,"Entrepreneurship Cell, Literary Society, Cultural Club"
Deborah Rodriguez,19.0,78.21,"Cultural Club, Literary Society, Sports Club"
Siddharth,23.0,78.09,Cultural Club
Priya,23.0,60.96,"Literary Society, Robotics, Cultural Club"
Katie Ford,21.0,66.7,Cultural Club
Suresh,20.0,74.98,"Robotics, Literary Society, Coding Club"
Michael Farrell,19.0,91.35,"Cultural Club, Robotics"
James Barber,23.0,61.73,"Coding Club, Cultural Club, Robotics"
Rahul,19.0,75.31,Sports Club
Kavya,18.0,75.32,"Literary Society, Sports Club"
Ramya,21.0,76.78,"Sports Club, Literary Society, Robotics"
Anita,21.0,64.56,Cultural Club
Miranda Zuniga,22.0,85.02,"Literary Society, Cultural Club"
Suresh,19.0,60.43,"Entrepreneurship Cell, Cultural Club, Sports Club"
Parker Davis,23.0,96.08,Coding Club
Pooja,23.0,79.06,"Coding Club, Entrepreneurship Cell, Sports Club"
Divya,19.0,97.96,Coding Club
Priya,20.0,85.04,Entrepreneurship Cell
Ramya,18.0,83.41,"Cultural Club, Sports Club"
Denise Rose,22.0,86.95,"Entrepreneurship Cell, Literary Society"
Pooja,22.0,95.82,"Cultural Club, Entrepreneurship Cell, Robotics"
Samuel Short,18.0,85.61,"Sports Club, Cultural Club, Coding Club"
Rakesh,22.0,64.73,Coding Club
Anil,18.0,83.29,"Coding Club, Cultural Club"
Gregory Brown,23.0,87.49,Literary Society
Anita,22.0,78.97,Coding Club
Priya,23.0,69.36,"Cultural Club, Robotics"
Daniel Davenport,22.0,61.78,"Coding Club, Robotics"
Justin Flores,18.0,97.74,"Entrepreneurship Cell, Cultural Club"
Sonal,22.0,75.72,"Entrepreneurship Cell, Sports Club, Coding Club"
Ronald Burke,22.0,77.5,"Cultural Club, Sports Club"
Scott Prince,20.0,79.02,"Coding Club, Entrepreneurship Cell"
Priya,21.0,95.25,Cultural Club
Teresa Wilson,20.0,86.8,Cultural Club
John Proctor,21.0,90.54,"Coding Club, Literary Society, Entrepreneurship Cell"
Rahul,23.0,86.02,Cultural Club
Pooja,21.0,89.0,"Cultural Club, Sports Club"
Sonal,21.0,84.32,"Entrepreneurship Cell, Sports Club"
Sonal,23.0,60.96,"Literary Society, Robotics, Cultural Club"
Rakesh,21.0,84.97,Coding Club
Ms. Katherine Taylor MD,18.0,67.19,Cultural Club
Joseph Romero,22.0,85.66,Coding Club
Divya,20.0,71.33,"Robotics, Sports Club"
Anita,18.0,90.07,"Entrepreneurship Cell, Literary Society"
Suresh,19.0,89.69,"Entrepreneurship Cell, Sports Club"
Ana Hill,23.0,92.0,"Cultural Club, Sports Club, Coding Club"
Meghan Cisneros,21.0,73.57,"Sports Club, Literary Society, Coding Club"
Ramya,22.0,75.66,"Entrepreneurship Cell, Robotics, Coding Club"
Ramya,20.0,97.24,"Coding Club, Robotics, Sports Club"
Andrea Preston,18.0,70.19,Robotics
Siddharth,23.0,94.74,Sports Club
Anita,21.0,75.45,"Literary Society, Entrepreneurship Cell"
Ramya,22.0,61.4,"Coding Club, Literary Society"
Susan Larson,21.0,63.96,"Entrepreneurship Cell, Literary Society"
Bailey Charles,21.0,94.59,"Sports Club, Coding Club, Robotics"
